ISO 639-3	Language Name	Region
apb	Sa'a	Pacific/Melanesia
saj	Sahu	Pacific/Melanesia
smo	Samoan	Pacific/Polynesia
tvw	Sedoa	Pacific/Melanesia
slu	Selaru	Pacific/Melanesia
snp	Siane	Pacific/Melanesia
mnx	Sougb	Pacific/Melanesia
tgo	Sudest	Pacific/Melanesia
tby	Tabaru	Pacific/Melanesia
tbg	Tairora, North	Pacific/Melanesia
omw	Tairora, South	Pacific/Melanesia
tbc	Takia	Pacific/Melanesia
tgp	Tangoa	Pacific/Melanesia
tnn	Tanna, North	Pacific/Melanesia
kps	Tehit	Pacific/Melanesia
twe	Teiwa	Pacific/Melanesia
twu	Termanu	Pacific/Melanesia
txq	Tii	Pacific/Melanesia
tnt	Tontemboan	Pacific/Melanesia
sda	Toraja-Sa'dan	Pacific/Melanesia
tcs	Torres Strait Creole	Pacific/Australia
iou	Tuma-Irumu	Pacific/Melanesia
ppk	Uma	Pacific/Melanesia
ubu	Umbu-Ungu	Pacific/Melanesia
urt	Urat	Pacific/Melanesia
upv	Uripiv-Wala-Rano-Atchin	Pacific/Melanesia
rro	Waima	Pacific/Melanesia
tnp	Whitesands	Pacific/Melanesia
yli	Yali, Angguruk	Pacific/Melanesia
nlk	Yali, Ninia	Pacific/Melanesia
jmd	Yamdena	Pacific/Melanesia
yva	Yawa	Pacific/Melanesia
byr	Yipma	Pacific/Melanesia
# ============================================================
# SIBERIA / ARCTIC (11 languages)
# ============================================================
ckt	Chukchi	Siberia/Arctic
evn	Evenki	Siberia
itl	Itelmen	Siberia
kjh	Khakas	Siberia
kca	Khanty	Siberia
kpv	Komi-Zyrian	Siberia
kpy	Koryak	Siberia
gld	Nanai	Siberia
cjs	Shor	Siberia
sah	Yakut	Siberia
# ============================================================
# ASIA — INDIA (19 languages)
# ============================================================
bdv	Bodo Parja	Asia/India
dso	Desiya	Asia/India
mhu	Digaro-Mishmi	Asia/India
gau	Gadaba, Mudhili	Asia/India
grt	Garo	Asia/India
hoc	Ho	Asia/India
lbj	Ladakhi	Asia/India
mjv	Mannan	Asia/India
fmu	Muria, Far Western	Asia/India
muv	Muthuvan	Asia/India
kfw	Naga, Kharam	Asia/India
nst	Naga, Tangshang	Asia/India
peg	Pengo	Asia/India
suv	Puroik	Asia/India
rah	Rabha	Asia/India
rnl	Ranglong	Asia/India
sch	Sakachep	Asia/India
sya	Siang	Asia/India
adx	Tibetan, Amdo	Asia/Tibet-India
# ============================================================
# ASIA — NEPAL (9 languages)
# ============================================================
dhi	Dhimal	Asia/Nepal
kle	Kulung	Asia/Nepal
lif	Limbu	Asia/Nepal
rjs	Rajbanshi	Asia/Nepal
rav	Sampang	Asia/Nepal
xsr	Sherpa	Asia/Nepal
suz	Sunwar	Asia/Nepal
taj	Tamang, Eastern	Asia/Nepal
thl	Tharu, Dangaura	Asia/Nepal
# ============================================================
# ASIA — MYANMAR / SOUTHEAST ASIA (32 languages)
# ============================================================
acn	Achang	Asia/Myanmar-China
aeu	Akeu	Asia/SE Asia
ahk	Akha	Asia/SE Asia
bdq	Bahnar	Asia/Vietnam
blt	Tai Dam	Asia/Vietnam
bzi	Bisu	Asia/SE Asia
bru	Bru, Eastern	Asia/SE Asia
bgr	Chin, Bawm	Asia/Myanmar
cek	Chin, Eastern Khumi	Asia/Myanmar
cfm	Chin, Falam	Asia/Myanmar
cnh	Chin, Hakha	Asia/Myanmar
hlt	Chin, Matu	Asia/Myanmar
mwq	Chin, Müün	Asia/Myanmar
ctd	Chin, Tedim	Asia/Myanmar
tcz	Chin, Thado	Asia/Myanmar
zyp	Chin, Zyphe	Asia/Myanmar
kac	Jingpho	Asia/Myanmar
pww	Karen, Pwo Northern	Asia/Myanmar
kxf	Kawyaw	Asia/Myanmar
kyu	Kayah, Western	Asia/Myanmar
kjg	Khmu	Asia/SE Asia
kxm	Khmer, Northern	Asia/SE Asia
krr	Krung	Asia/SE Asia
kdt	Kuay	Asia/SE Asia
lhu	Lahu	Asia/SE Asia
lcp	Lawa, Western	Asia/Thailand
mhx	Lhao Vo	Asia/Myanmar
lis	Lisu	Asia/SE Asia
pce	Palaung, Ruching	Asia/Myanmar
prt	Prai	Asia/SE Asia
raw	Rawang	Asia/Myanmar
ril	Riang Lang	Asia/Myanmar
shn	Shan	Asia/Myanmar
urk	Urak Lawoi'	Asia/SE Asia
prk	Wa, Parauk	Asia/Myanmar
atb	Zaiwa	Asia/Myanmar
# ============================================================
# ASIA — MALAYSIA / BORNEO (13 languages)
# ============================================================
bdh	Baka	Asia/Malaysia
sne	Bidayuh, Bau	Asia/Malaysia
bdg	Bonggi	Asia/Malaysia
iba	Iban	Asia/Malaysia
dbj	Ida'an	Asia/Malaysia
dtp	Kadazan Dusun	Asia/Malaysia
kqr	Kimaragang	Asia/Malaysia
lnd	Lundayeh	Asia/Malaysia
tih	Murut, Timugon	Asia/Malaysia
pez	Penan, Eastern	Asia/Malaysia
sea	Semai	Asia/Malaysia
sza	Semelai	Asia/Malaysia
txa	Tombonuo	Asia/Malaysia
# ============================================================
# ASIA — INDONESIA (9 languages)
# ============================================================
alp	Alune	Asia/Indonesia
atq	Aralle-Tabulahan	Asia/Indonesia
mvp	Duri	Asia/Indonesia
kzf	Kaili, Da'a	Asia/Indonesia
lew	Kaili, Ledo	Asia/Indonesia
mwv	Mentawai	Asia/Indonesia
mnb	Muna	Asia/Indonesia
klw	Tado	Asia/Indonesia
tdj	Tajio	Asia/Indonesia
# ============================================================
# ASIA — PHILIPPINES (35 languages)
# ============================================================
agn	Agutaynen	Asia/Philippines
alj	Alangan	Asia/Philippines
abp	Ayta, Abellen	Asia/Philippines
blx	Ayta, Mag-Indi	Asia/Philippines
sgb	Ayta, Mag-antsi	Asia/Philippines
ubl	Bikol, Buhi'non	Asia/Philippines
hnn	Hanunoo	Asia/Philippines
ifa	Ifugao, Amganad	Asia/Philippines
ifb	Ifugao, Batad	Asia/Philippines
ifu	Ifugao, Mayoyao	Asia/Philippines
ifk	Ifugao, Tuwali	Asia/Philippines
itv	Itawit	Asia/Philippines
juy	Juray	Asia/Philippines
cgc	Kagayanen	Asia/Philippines
kqe	Kalagan	Asia/Philippines
kak	Kalanguya	Asia/Philippines
kyb	Kalinga, Butbut	Asia/Philippines
knb	Kalinga, Lubuagan	Asia/Philippines
kmd	Kalinga, Majukayang	Asia/Philippines
kml	Kalinga, Tanudan	Asia/Philippines
ify	Kallahan, Keley-i	Asia/Philippines
kne	Kankanaey	Asia/Philippines
pam	Kapampangan	Asia/Philippines
mbt	Manobo, Matigsalug	Asia/Philippines
obo	Manobo, Obo	Asia/Philippines
mbb	Manobo, Western Bukidnon	Asia/Philippines
sjm	Mapun	Asia/Philippines
plw	Palawano, Brooke's Point	Asia/Philippines
pag	Pangasinan	Asia/Philippines
sml	Sama, Central	Asia/Philippines
suc	Subanon, Western	Asia/Philippines
tbk	Tagbanwa, Calamian	Asia/Philippines
twb	Tawbuid	Asia/Philippines
tbl	Tboli	Asia/Philippines
yka	Yakan	Asia/Philippines
